DATE,CPALTT01USM657N,,https://fred.stlouisfed.org/series/CPALTT01USM657N
3/1/96,0.516462234,,
4/1/96,0.385356455,,
5/1/96,0.19193858,,
6/1/96,0.06385696,,
7/1/96,0.191448628,,
8/1/96,0.191082803,,
9/1/96,0.317863954,,
10/1/96,0.316856781,,
11/1/96,0.189513582,,
12/1/96,0,,
1/1/97,0.315258512,,
2/1/97,0.314267756,,
3/1/97,0.250626566,,
4/1/97,0.125,,
5/1/97,-0.062421973,,
6/1/97,0.124921924,,
7/1/97,0.124766064,,
8/1/97,0.186915888,,
9/1/97,0.248756219,,
10/1/97,0.248138958,,
11/1/97,-0.061881188,,
12/1/97,-0.123839009,,
1/1/98,0.185988841,,
2/1/98,0.185643564,,
3/1/98,0.185299568,,
4/1/98,0.184956843,,
5/1/98,0.184615385,,
6/1/98,0.122850123,,
7/1/98,0.122699387,,
8/1/98,0.12254902,,
9/1/98,0.122399021,,
10/1/98,0.244498778,,
11/1/98,0,,
12/1/98,-0.06097561,,
1/1/99,0.244051251,,
2/1/99,0.121728545,,
3/1/99,0.303951368,,
4/1/99,0.727272727,,
5/1/99,0,,
6/1/99,0,,
7/1/99,0.300842359,,
8/1/99,0.23995201,,
9/1/99,0.478755236,,
10/1/99,0.178677784,,
11/1/99,0.059453032,,
12/1/99,0,,
1/1/00,0.297088532,,
2/1/00,0.592417062,,
3/1/00,0.824499411,,
4/1/00,0.058411215,,
5/1/00,0.116754232,,
6/1/00,0.524781341,,
7/1/00,0.232018561,,
8/1/00,0,,
9/1/00,0.520833333,,
10/1/00,0.172711572,,
11/1/00,0.057471264,,
12/1/00,-0.057438254,,
1/1/01,0.632183908,,
2/1/01,0.399771559,,
3/1/01,0.227531286,,
4/1/01,0.397275823,,
5/1/01,0.4522329,,
6/1/01,0.16882386,,
7/1/01,-0.280898876,,
8/1/01,0,,
9/1/01,0.450704225,,
10/1/01,-0.336511497,,
11/1/01,-0.16882386,,
12/1/01,-0.394588501,,
1/1/02,0.226372383,,
2/1/02,0.395256917,,
3/1/02,0.562429696,,
4/1/02,0.559284116,,
5/1/02,0,,
